HSGPA;CollegeGPA
2.01;2.04
3.4;2.56
3.68;3.75
1.54;1.1
3.32;3
0.33;0.05
0.36;1.38
1.97;1.5
2.03;1.38
2.05;4.01
2.13;1.5
1.34;1.29
1.51;1.9
3.12;3.11
2.14;1.92
2.6;0.81
1.9;1.01
3.06;3.66
1.6;2
1.96;2.05
1.96;2.6
1.56;2.55
1.6;0.38
1.92;2.48
3.09;2.74
0.78;1.77
2.12;1.61
1.85;0.99
1.78;1.62
1.03;2.03
3.44;3.5
2.42;3.18
1.74;2.39
1.89;1.48
1.43;1.54
1.64;1.57
2.69;2.46
1.79;2.42
2.72;2.11
2.15;2.04
2.22;1.68
1.55;1.64
2.34;2.41
2.92;2.1
2.1;1.4
1.64;2.03
2.83;1.99
1.76;2.24
1.81;0.45
2.68;2.31
2.55;2.41
2.7;2.56
1.66;2.5
2.23;2.92
2.01;2.35
1.24;2.82
1.95;1.8
1.73;1.29
1.08;1.68
3.46;3.44
3.01;1.9
0.54;2.06
3.2;3.3
1.5;1.8
1.71;2
1.99;1.68
2.76;1.94
1.56;0.97
1.78;1.12
1.32;1.31
0.87;1.68
1.75;3.09
1.41;1.87
2.77;2
1.78;2.39
1.34;1.5
1.52;1.82
2.97;1.8
1.75;2.01
1.64;1.88
1.8;1.64
3.37;2.42
1.15;0.22
1.72;2.31
2.27;0.95
2.85;1.99
2.21;1.86
1.94;1.79
4.25;3.02
1.83;1.85
2.75;1.98
1.71;2.15
2.2;1.46
2.13;2.29
2.38;2.39
1.64;1.8
1.87;2.64
2.53;2.08
1.78;0.7
1.2;0.89
